Kod,Województwo,koszykówka,piłka nożna,piłka ręczna,piłka siatkowa
200000,DOLNOŚLĄSKIE,2838,40668,2615,3810
400000,KUJAWSKO-POMORSKIE,3105,22980,2121,4680
600000,LUBELSKIE,1702,23910,2124,4721
800000,LUBUSKIE,1283,13029,1378,1884
1000000,ŁÓDZKIE,2800,28420,1455,5415
1200000,MAŁOPOLSKIE,3781,53275,3686,9049
1400000,MAZOWIECKIE,6225,50046,5424,9575
1600000,OPOLSKIE,910,17530,1174,1207
1800000,PODKARPACKIE,2485,43189,2705,6541
2000000,PODLASKIE,1923,9466,1310,2660
2200000,POMORSKIE,2665,19668,2562,3933
2400000,ŚLĄSKIE,3743,58006,2707,8289
2600000,ŚWIĘTOKRZYSKIE,380,10482,2083,1669
2800000,WARMIŃSKO-MAZURSKIE,1460,13376,1281,2893
3000000,WIELKOPOLSKIE,4977,37955,3762,7034
3200000,ZACHODNIOPOMORSKIE,1905,18656,1905,3122
